#word	freqcount	cdcount	subtlwf	lg10wf	subtlcd	lg10cd
undaunted	14	12	0.27	1.1761	0.14	1.1139
undeclared	13	12	0.25	1.1461	0.14	1.1139
underachiever	16	12	0.31	1.2304	0.14	1.1139
underhand	17	12	0.33	1.2553	0.14	1.1139
underside	12	12	0.24	1.1139	0.14	1.1139
undesirables	13	12	0.25	1.1461	0.14	1.1139
undid	13	12	0.25	1.1461	0.14	1.1139
unfavorable	14	12	0.27	1.1761	0.14	1.1139
unfocused	12	12	0.24	1.1139	0.14	1.1139
unfolded	15	12	0.29	1.2041	0.14	1.1139
unfunny	12	12	0.24	1.1139	0.14	1.1139
unhinged	12	12	0.24	1.1139	0.14	1.1139
unimpressive	12	12	0.24	1.1139	0.14	1.1139
unkempt	12	12	0.24	1.1139	0.14	1.1139
unleashes	13	12	0.25	1.1461	0.14	1.1139
unmade	13	12	0.25	1.1461	0.14	1.1139
unmasked	12	12	0.24	1.1139	0.14	1.1139
unpatriotic	13	12	0.25	1.1461	0.14	1.1139
unrefined	12	12	0.24	1.1139	0.14	1.1139
unspecified	13	12	0.25	1.1461	0.14	1.1139
unsurpassed	13	12	0.25	1.1461	0.14	1.1139
unusable	14	12	0.27	1.1761	0.14	1.1139
unzipped	13	12	0.25	1.1461	0.14	1.1139
urinated	14	12	0.27	1.1761	0.14	1.1139
vac	20	12	0.39	1.3222	0.14	1.1139
valentines	16	12	0.31	1.2304	0.14	1.1139
varicose	14	12	0.27	1.1761	0.14	1.1139
vehemently	12	12	0.24	1.1139	0.14	1.1139
venous	16	12	0.31	1.2304	0.14	1.1139
vespers	16	12	0.31	1.2304	0.14	1.1139
vesuvius	19	12	0.37	1.3010	0.14	1.1139
vichyssoise	12	12	0.24	1.1139	0.14	1.1139
vila	58	12	1.14	1.7709	0.14	1.1139
viscous	13	12	0.25	1.1461	0.14	1.1139
vivre	12	12	0.24	1.1139	0.14	1.1139
vocalist	14	12	0.27	1.1761	0.14	1.1139
voltaire	30	12	0.59	1.4914	0.14	1.1139
wagers	12	12	0.24	1.1139	0.14	1.1139
wags	13	12	0.25	1.1461	0.14	1.1139
wampum	19	12	0.37	1.3010	0.14	1.1139
wardens	36	12	0.71	1.5682	0.14	1.1139
warhorse	12	12	0.24	1.1139	0.14	1.1139
warthog	16	12	0.31	1.2304	0.14	1.1139
watermark	14	12	0.27	1.1761	0.14	1.1139
weighty	12	12	0.24	1.1139	0.14	1.1139
welterweight	18	12	0.35	1.2788	0.14	1.1139
westinghouse	23	12	0.45	1.3802	0.14	1.1139
whelp	24	12	0.47	1.3979	0.14	1.1139
whinnying	41	12	0.80	1.6232	0.14	1.1139
whisker	13	12	0.25	1.1461	0.14	1.1139
wields	12	12	0.24	1.1139	0.14	1.1139
wile	21	12	0.41	1.3424	0.14	1.1139
wilted	12	12	0.24	1.1139	0.14	1.1139
windbreaker	16	12	0.31	1.2304	0.14	1.1139
wipeout	14	12	0.27	1.1761	0.14	1.1139
wisenheimer	12	12	0.24	1.1139	0.14	1.1139
wolverines	12	12	0.24	1.1139	0.14	1.1139
woodchuck	17	12	0.33	1.2553	0.14	1.1139
woodsman	23	12	0.45	1.3802	0.14	1.1139
worded	14	12	0.27	1.1761	0.14	1.1139
workshops	15	12	0.29	1.2041	0.14	1.1139
worrisome	12	12	0.24	1.1139	0.14	1.1139
worsens	13	12	0.25	1.1461	0.14	1.1139
xeroxed	12	12	0.24	1.1139	0.14	1.1139
xxx	31	12	0.61	1.5051	0.14	1.1139
yahoos	12	12	0.24	1.1139	0.14	1.1139
yean	17	12	0.33	1.2553	0.14	1.1139
yore	13	12	0.25	1.1461	0.14	1.1139
zig	21	12	0.41	1.3424	0.14	1.1139
zimbabwe	18	12	0.35	1.2788	0.14	1.1139
zips	17	12	0.33	1.2553	0.14	1.1139
abalone	26	11	0.51	1.4314	0.13	1.0792
abductee	20	11	0.39	1.3222	0.13	1.0792
aborting	13	11	0.25	1.1461	0.13	1.0792
abstraction	15	11	0.29	1.2041	0.13	1.0792
accumulates	11	11	0.22	1.0792	0.13	1.0792
acidic	11	11	0.22	1.0792	0.13	1.0792
acorns	19	11	0.37	1.3010	0.13	1.0792
addled	11	11	0.22	1.0792	0.13	1.0792
adulteress	13	11	0.25	1.1461	0.13	1.0792
adventurers	11	11	0.22	1.0792	0.13	1.0792
adversely	11	11	0.22	1.0792	0.13	1.0792
advisers	13	11	0.25	1.1461	0.13	1.0792
aesthetically	12	11	0.24	1.1139	0.13	1.0792
affiliate	15	11	0.29	1.2041	0.13	1.0792
ageing	17	11	0.33	1.2553	0.13	1.0792
agitator	11	11	0.22	1.0792	0.13	1.0792
airfare	12	11	0.24	1.1139	0.13	1.0792
airman	30	11	0.59	1.4914	0.13	1.0792
alcmene	36	11	0.71	1.5682	0.13	1.0792
ambivalence	12	11	0.24	1.1139	0.13	1.0792
amis	14	11	0.27	1.1761	0.13	1.0792
amoeba	16	11	0.31	1.2304	0.13	1.0792
anagrams	12	11	0.24	1.1139	0.13	1.0792
analyzes	11	11	0.22	1.0792	0.13	1.0792
ancillary	11	11	0.22	1.0792	0.13	1.0792
anemones	12	11	0.24	1.1139	0.13	1.0792
anesthetized	11	11	0.22	1.0792	0.13	1.0792
angiogram	20	11	0.39	1.3222	0.13	1.0792
annoyingly	11	11	0.22	1.0792	0.13	1.0792
antacid	16	11	0.31	1.2304	0.13	1.0792
antagonism	11	11	0.22	1.0792	0.13	1.0792
antagonizing	11	11	0.22	1.0792	0.13	1.0792
anteater	11	11	0.22	1.0792	0.13	1.0792
antihistamine	12	11	0.24	1.1139	0.13	1.0792
aqueduct	17	11	0.33	1.2553	0.13	1.0792
arbitration	23	11	0.45	1.3802	0.13	1.0792
arcades	12	11	0.24	1.1139	0.13	1.0792
arisen	11	11	0.22	1.0792	0.13	1.0792
armful	12	11	0.24	1.1139	0.13	1.0792
aromatic	14	11	0.27	1.1761	0.13	1.0792
arriba	18	11	0.35	1.2788	0.13	1.0792
asphyxiated	11	11	0.22	1.0792	0.13	1.0792
assemblyman	37	11	0.73	1.5798	0.13	1.0792
assigns	11	11	0.22	1.0792	0.13	1.0792
attired	11	11	0.22	1.0792	0.13	1.0792
aught	18	11	0.35	1.2788	0.13	1.0792
aussie	13	11	0.25	1.1461	0.13	1.0792
authentication	14	11	0.27	1.1761	0.13	1.0792
automaton	11	11	0.22	1.0792	0.13	1.0792
avocados	13	11	0.25	1.1461	0.13	1.0792
axed	15	11	0.29	1.2041	0.13	1.0792
babel	12	11	0.24	1.1139	0.13	1.0792
bailiffs	17	11	0.33	1.2553	0.13	1.0792
bails	11	11	0.22	1.0792	0.13	1.0792
baklava	15	11	0.29	1.2041	0.13	1.0792
baldness	12	11	0.24	1.1139	0.13	1.0792
ballplayers	15	11	0.29	1.2041	0.13	1.0792
banal	14	11	0.27	1.1761	0.13	1.0792
bandana	12	11	0.24	1.1139	0.13	1.0792
bandied	11	11	0.22	1.0792	0.13	1.0792
bankrolled	11	11	0.22	1.0792	0.13	1.0792
barbers	12	11	0.24	1.1139	0.13	1.0792
barbiturates	12	11	0.24	1.1139	0.13	1.0792
baring	11	11	0.22	1.0792	0.13	1.0792
barnard	21	11	0.41	1.3424	0.13	1.0792
barreling	11	11	0.22	1.0792	0.13	1.0792
bartholomew	18	11	0.35	1.2788	0.13	1.0792
basest	11	11	0.22	1.0792	0.13	1.0792
basset	13	11	0.25	1.1461	0.13	1.0792
basta	15	11	0.29	1.2041	0.13	1.0792
baster	12	11	0.24	1.1139	0.13	1.0792
bathes	12	11	0.24	1.1139	0.13	1.0792
battlements	20	11	0.39	1.3222	0.13	1.0792
bays	11	11	0.22	1.0792	0.13	1.0792
bazookas	13	11	0.25	1.1461	0.13	1.0792
bearers	13	11	0.25	1.1461	0.13	1.0792
beaus	11	11	0.22	1.0792	0.13	1.0792
beecher	41	11	0.80	1.6232	0.13	1.0792
befalls	11	11	0.22	1.0792	0.13	1.0792
begonias	11	11	0.22	1.0792	0.13	1.0792
beheading	11	11	0.22	1.0792	0.13	1.0792
bellboys	13	11	0.25	1.1461	0.13	1.0792
beltway	13	11	0.25	1.1461	0.13	1.0792
beset	14	11	0.27	1.1761	0.13	1.0792
bestiality	18	11	0.35	1.2788	0.13	1.0792
betterment	13	11	0.25	1.1461	0.13	1.0792
beulah	78	11	1.53	1.8976	0.13	1.0792
bewildering	11	11	0.22	1.0792	0.13	1.0792
bibs	13	11	0.25	1.1461	0.13	1.0792
bidet	18	11	0.35	1.2788	0.13	1.0792
biding	11	11	0.22	1.0792	0.13	1.0792
biggies	12	11	0.24	1.1139	0.13	1.0792
biographical	12	11	0.24	1.1139	0.13	1.0792
birdbrain	12	11	0.24	1.1139	0.13	1.0792
birdhouse	13	11	0.25	1.1461	0.13	1.0792
blabbed	12	11	0.24	1.1139	0.13	1.0792
blabbering	14	11	0.27	1.1761	0.13	1.0792
blacklist	24	11	0.47	1.3979	0.13	1.0792
blacktop	16	11	0.31	1.2304	0.13	1.0792
blanca	21	11	0.41	1.3424	0.13	1.0792
bleating	12	11	0.24	1.1139	0.13	1.0792
blistered	12	11	0.24	1.1139	0.13	1.0792
bloodlines	18	11	0.35	1.2788	0.13	1.0792
boatswain	23	11	0.45	1.3802	0.13	1.0792
bodacious	17	11	0.33	1.2553	0.13	1.0792
boggles	11	11	0.22	1.0792	0.13	1.0792
boldness	11	11	0.22	1.0792	0.13	1.0792
bolshevik	22	11	0.43	1.3617	0.13	1.0792
bonk	17	11	0.33	1.2553	0.13	1.0792
bookends	12	11	0.24	1.1139	0.13	1.0792
bosun	37	11	0.73	1.5798	0.13	1.0792
bot	50	11	0.98	1.7076	0.13	1.0792
bough	15	11	0.29	1.2041	0.13	1.0792
brackets	11	11	0.22	1.0792	0.13	1.0792
braggart	13	11	0.25	1.1461	0.13	1.0792
brainchild	11	11	0.22	1.0792	0.13	1.0792
branching	15	11	0.29	1.2041	0.13	1.0792
brandies	13	11	0.25	1.1461	0.13	1.0792
braved	13	11	0.25	1.1461	0.13	1.0792
brazilians	12	11	0.24	1.1139	0.13	1.0792
breaching	13	11	0.25	1.1461	0.13	1.0792
breaded	11	11	0.22	1.0792	0.13	1.0792
breakage	11	11	0.22	1.0792	0.13	1.0792
breastfeeding	13	11	0.25	1.1461	0.13	1.0792
bridging	11	11	0.22	1.0792	0.13	1.0792
briefcases	15	11	0.29	1.2041	0.13	1.0792
brigades	21	11	0.41	1.3424	0.13	1.0792
bringer	12	11	0.24	1.1139	0.13	1.0792
broadening	11	11	0.22	1.0792	0.13	1.0792
broadside	23	11	0.45	1.3802	0.13	1.0792
bronchial	17	11	0.33	1.2553	0.13	1.0792
brouhaha	11	11	0.22	1.0792	0.13	1.0792
brownish	12	11	0.24	1.1139	0.13	1.0792
brows	12	11	0.24	1.1139	0.13	1.0792
buffets	11	11	0.22	1.0792	0.13	1.0792
bulbous	11	11	0.22	1.0792	0.13	1.0792
bullfight	15	11	0.29	1.2041	0.13	1.0792
bungalows	13	11	0.25	1.1461	0.13	1.0792
burmese	20	11	0.39	1.3222	0.13	1.0792
burnout	12	11	0.24	1.1139	0.13	1.0792
bushwhacked	11	11	0.22	1.0792	0.13	1.0792
bustling	14	11	0.27	1.1761	0.13	1.0792
busty	12	11	0.24	1.1139	0.13	1.0792
buyout	11	11	0.22	1.0792	0.13	1.0792
byproducts	12	11	0.24	1.1139	0.13	1.0792
cabal	13	11	0.25	1.1461	0.13	1.0792
cabarets	13	11	0.25	1.1461	0.13	1.0792
calais	25	11	0.49	1.4150	0.13	1.0792
calibrate	12	11	0.24	1.1139	0.13	1.0792
calibration	11	11	0.22	1.0792	0.13	1.0792
callow	13	11	0.25	1.1461	0.13	1.0792
callus	11	11	0.22	1.0792	0.13	1.0792
campaigned	12	11	0.24	1.1139	0.13	1.0792
cantankerous	11	11	0.22	1.0792	0.13	1.0792
capacities	12	11	0.24	1.1139	0.13	1.0792
capillaries	11	11	0.22	1.0792	0.13	1.0792
capo	26	11	0.51	1.4314	0.13	1.0792
capote	43	11	0.84	1.6435	0.13	1.0792
cappy	42	11	0.82	1.6335	0.13	1.0792
caramba	16	11	0.31	1.2304	0.13	1.0792
carjack	26	11	0.51	1.4314	0.13	1.0792
carne	25	11	0.49	1.4150	0.13	1.0792
carny	15	11	0.29	1.2041	0.13	1.0792
cashes	11	11	0.22	1.0792	0.13	1.0792
cassiopeia	23	11	0.45	1.3802	0.13	1.0792
cataloging	12	11	0.24	1.1139	0.13	1.0792
catgut	13	11	0.25	1.1461	0.13	1.0792
caulk	13	11	0.25	1.1461	0.13	1.0792
caverns	14	11	0.27	1.1761	0.13	1.0792
ceasefire	15	11	0.29	1.2041	0.13	1.0792
centavos	15	11	0.29	1.2041	0.13	1.0792
centrifugal	15	11	0.29	1.2041	0.13	1.0792
cerebellum	12	11	0.24	1.1139	0.13	1.0792
cesarean	12	11	0.24	1.1139	0.13	1.0792
chaff	11	11	0.22	1.0792	0.13	1.0792
chalice	32	11	0.63	1.5185	0.13	1.0792
chanced	12	11	0.24	1.1139	0.13	1.0792
changeable	13	11	0.25	1.1461	0.13	1.0792
chanted	17	11	0.33	1.2553	0.13	1.0792
chargers	22	11	0.43	1.3617	0.13	1.0792
chattel	15	11	0.29	1.2041	0.13	1.0792
chauvinism	12	11	0.24	1.1139	0.13	1.0792
chickadee	12	11	0.24	1.1139	0.13	1.0792
chickenpox	23	11	0.45	1.3802	0.13	1.0792
chiefly	11	11	0.22	1.0792	0.13	1.0792
chol	20	11	0.39	1.3222	0.13	1.0792
chronically	11	11	0.22	1.0792	0.13	1.0792
chronologically	11	11	0.22	1.0792	0.13	1.0792
chucks	12	11	0.24	1.1139	0.13	1.0792
cinematographer	17	11	0.33	1.2553	0.13	1.0792
claudius	40	11	0.78	1.6128	0.13	1.0792
cleat	22	11	0.43	1.3617	0.13	1.0792
clich	16	11	0.31	1.2304	0.13	1.0792
climactic	11	11	0.22	1.0792	0.13	1.0792
clinches	11	11	0.22	1.0792	0.13	1.0792
cline	17	11	0.33	1.2553	0.13	1.0792
coasting	16	11	0.31	1.2304	0.13	1.0792
coddling	12	11	0.24	1.1139	0.13	1.0792
codpiece	13	11	0.25	1.1461	0.13	1.0792
cogs	19	11	0.37	1.3010	0.13	1.0792
cohorts	14	11	0.27	1.1761	0.13	1.0792
coitus	12	11	0.24	1.1139	0.13	1.0792
coked	11	11	0.22	1.0792	0.13	1.0792
collaborated	11	11	0.22	1.0792	0.13	1.0792
collate	16	11	0.31	1.2304	0.13	1.0792
colliding	11	11	0.22	1.0792	0.13	1.0792
colonoscopy	24	11	0.47	1.3979	0.13	1.0792
columbine	60	11	1.18	1.7853	0.13	1.0792
comers	12	11	0.24	1.1139	0.13	1.0792
comets	23	11	0.45	1.3802	0.13	1.0792
commas	16	11	0.31	1.2304	0.13	1.0792
commences	11	11	0.22	1.0792	0.13	1.0792
commons	20	11	0.39	1.3222	0.13	1.0792
communing	11	11	0.22	1.0792	0.13	1.0792
compartmentalize	11	11	0.22	1.0792	0.13	1.0792
complied	13	11	0.25	1.1461	0.13	1.0792
compulsions	11	11	0.22	1.0792	0.13	1.0792
concentrations	11	11	0.22	1.0792	0.13	1.0792
concurrent	11	11	0.22	1.0792	0.13	1.0792
condense	14	11	0.27	1.1761	0.13	1.0792
confidences	11	11	0.22	1.0792	0.13	1.0792
confidently	12	11	0.24	1.1139	0.13	1.0792
confiding	11	11	0.22	1.0792	0.13	1.0792
congenial	11	11	0.22	1.0792	0.13	1.0792
connotations	11	11	0.22	1.0792	0.13	1.0792
conservatives	12	11	0.24	1.1139	0.13	1.0792
consigned	12	11	0.24	1.1139	0.13	1.0792
contemporaries	14	11	0.27	1.1761	0.13	1.0792
contessa	21	11	0.41	1.3424	0.13	1.0792
contrite	11	11	0.22	1.0792	0.13	1.0792
convergence	12	11	0.24	1.1139	0.13	1.0792
conveying	11	11	0.22	1.0792	0.13	1.0792
convincingly	11	11	0.22	1.0792	0.13	1.0792
cookbooks	11	11	0.22	1.0792	0.13	1.0792
cookout	39	11	0.76	1.6021	0.13	1.0792
coolie	24	11	0.47	1.3979	0.13	1.0792
coopers	19	11	0.37	1.3010	0.13	1.0792
coquette	15	11	0.29	1.2041	0.13	1.0792
corinthians	14	11	0.27	1.1761	0.13	1.0792
corks	11	11	0.22	1.0792	0.13	1.0792
corncob	11	11	0.22	1.0792	0.13	1.0792
cosign	13	11	0.25	1.1461	0.13	1.0792
costar	13	11	0.25	1.1461	0.13	1.0792
councilmen	11	11	0.22	1.0792	0.13	1.0792
countered	12	11	0.24	1.1139	0.13	1.0792
countermanded	11	11	0.22	1.0792	0.13	1.0792
countryman	12	11	0.24	1.1139	0.13	1.0792
couscous	14	11	0.27	1.1761	0.13	1.0792
cr	18	11	0.35	1.2788	0.13	1.0792
crabapple	19	11	0.37	1.3010	0.13	1.0792
crag	19	11	0.37	1.3010	0.13	1.0792
cranks	11	11	0.22	1.0792	0.13	1.0792
cray	33	11	0.65	1.5315	0.13	1.0792
cretaceous	12	11	0.24	1.1139	0.13	1.0792
cribbage	13	11	0.25	1.1461	0.13	1.0792
criterion	11	11	0.22	1.0792	0.13	1.0792
crooner	14	11	0.27	1.1761	0.13	1.0792
croup	14	11	0.27	1.1761	0.13	1.0792
crower	56	11	1.10	1.7559	0.13	1.0792
crusading	12	11	0.24	1.1139	0.13	1.0792
crustacean	12	11	0.24	1.1139	0.13	1.0792
cryogenic	17	11	0.33	1.2553	0.13	1.0792
cud	13	11	0.25	1.1461	0.13	1.0792
cumin	16	11	0.31	1.2304	0.13	1.0792
cunningly	11	11	0.22	1.0792	0.13	1.0792
cuteness	18	11	0.35	1.2788	0.13	1.0792
cuties	12	11	0.24	1.1139	0.13	1.0792
cv	14	11	0.27	1.1761	0.13	1.0792
cymbal	13	11	0.25	1.1461	0.13	1.0792
dalliance	11	11	0.22	1.0792	0.13	1.0792
damsels	11	11	0.22	1.0792	0.13	1.0792
dandelion	15	11	0.29	1.2041	0.13	1.0792
darkies	15	11	0.29	1.2041	0.13	1.0792
darwinian	11	11	0.22	1.0792	0.13	1.0792
dec	15	11	0.29	1.2041	0.13	1.0792
deceptions	14	11	0.27	1.1761	0.13	1.0792
declarations	13	11	0.25	1.1461	0.13	1.0792
deducting	11	11	0.22	1.0792	0.13	1.0792
defensible	12	11	0.24	1.1139	0.13	1.0792
deferred	12	11	0.24	1.1139	0.13	1.0792
deflate	13	11	0.25	1.1461	0.13	1.0792
denigrate	13	11	0.25	1.1461	0.13	1.0792
dentistry	19	11	0.37	1.3010	0.13	1.0792
dependents	11	11	0.22	1.0792	0.13	1.0792
depletion	13	11	0.25	1.1461	0.13	1.0792
dervish	14	11	0.27	1.1761	0.13	1.0792
desecrating	12	11	0.24	1.1139	0.13	1.0792
desensitized	11	11	0.22	1.0792	0.13	1.0792
despising	11	11	0.22	1.0792	0.13	1.0792
deterred	12	11	0.24	1.1139	0.13	1.0792
deus	11	11	0.22	1.0792	0.13	1.0792
deviants	12	11	0.24	1.1139	0.13	1.0792
diaphoretic	11	11	0.22	1.0792	0.13	1.0792
dickey	24	11	0.47	1.3979	0.13	1.0792
differed	11	11	0.22	1.0792	0.13	1.0792
digress	12	11	0.24	1.1139	0.13	1.0792
dike	21	11	0.41	1.3424	0.13	1.0792
dilantin	14	11	0.27	1.1761	0.13	1.0792
dilate	12	11	0.24	1.1139	0.13	1.0792
dimmed	13	11	0.25	1.1461	0.13	1.0792
dingle	12	11	0.24	1.1139	0.13	1.0792
directorate	13	11	0.25	1.1461	0.13	1.0792
discharges	11	11	0.22	1.0792	0.13	1.0792
discriminated	11	11	0.22	1.0792	0.13	1.0792
dishwater	11	11	0.22	1.0792	0.13	1.0792
disintegration	12	11	0.24	1.1139	0.13	1.0792
disobedient	11	11	0.22	1.0792	0.13	1.0792
disregarding	14	11	0.27	1.1761	0.13	1.0792
dissipate	11	11	0.22	1.0792	0.13	1.0792
dissipation	12	11	0.24	1.1139	0.13	1.0792
distillery	14	11	0.27	1.1761	0.13	1.0792
distorts	11	11	0.22	1.0792	0.13	1.0792
doesnt	18	11	0.35	1.2788	0.13	1.0792
dogma	13	11	0.25	1.1461	0.13	1.0792
doilies	11	11	0.22	1.0792	0.13	1.0792
dossiers	16	11	0.31	1.2304	0.13	1.0792
dowd	125	11	2.45	2.1004	0.13	1.0792
dowdy	12	11	0.24	1.1139	0.13	1.0792
dramatize	11	11	0.22	1.0792	0.13	1.0792
drang	11	11	0.22	1.0792	0.13	1.0792
draper	26	11	0.51	1.4314	0.13	1.0792
dreadlocks	13	11	0.25	1.1461	0.13	1.0792
dreads	11	11	0.22	1.0792	0.13	1.0792
drench	11	11	0.22	1.0792	0.13	1.0792
duffle	14	11	0.27	1.1761	0.13	1.0792
dumbwaiter	16	11	0.31	1.2304	0.13	1.0792
dundee	43	11	0.84	1.6435	0.13	1.0792
duodenum	14	11	0.27	1.1761	0.13	1.0792
dwellers	15	11	0.29	1.2041	0.13	1.0792
dyeing	11	11	0.22	1.0792	0.13	1.0792
dyslexia	13	11	0.25	1.1461	0.13	1.0792
earls	12	11	0.24	1.1139	0.13	1.0792
earmarked	12	11	0.24	1.1139	0.13	1.0792
earnestly	11	11	0.22	1.0792	0.13	1.0792
economist	11	11	0.22	1.0792	0.13	1.0792
economize	12	11	0.24	1.1139	0.13	1.0792
edging	15	11	0.29	1.2041	0.13	1.0792
edification	15	11	0.29	1.2041	0.13	1.0792
effing	14	11	0.27	1.1761	0.13	1.0792
egged	11	11	0.22	1.0792	0.13	1.0792
electro	17	11	0.33	1.2553	0.13	1.0792
electrolyte	11	11	0.22	1.0792	0.13	1.0792
elliptical	12	11	0.24	1.1139	0.13	1.0792
embellished	11	11	0.22	1.0792	0.13	1.0792
embodied	11	11	0.22	1.0792	0.13	1.0792
embroider	12	11	0.24	1.1139	0.13	1.0792
emmet	33	11	0.65	1.5315	0.13	1.0792
emphasized	11	11	0.22	1.0792	0.13	1.0792
enclosing	12	11	0.24	1.1139	0.13	1.0792
endangers	11	11	0.22	1.0792	0.13	1.0792
enigmatic	11	11	0.22	1.0792	0.13	1.0792
enquiries	12	11	0.24	1.1139	0.13	1.0792
entreat	21	11	0.41	1.3424	0.13	1.0792
environmentalist	13	11	0.25	1.1461	0.13	1.0792
envying	12	11	0.24	1.1139	0.13	1.0792
epsilon	17	11	0.33	1.2553	0.13	1.0792
eradication	15	11	0.29	1.2041	0.13	1.0792
erections	13	11	0.25	1.1461	0.13	1.0792
eroded	12	11	0.24	1.1139	0.13	1.0792
eruptions	11	11	0.22	1.0792	0.13	1.0792
esmeralda	36	11	0.71	1.5682	0.13	1.0792
establishes	11	11	0.22	1.0792	0.13	1.0792
etching	11	11	0.22	1.0792	0.13	1.0792
ethyl	19	11	0.37	1.3010	0.13	1.0792
euthanize	11	11	0.22	1.0792	0.13	1.0792
evaded	12	11	0.24	1.1139	0.13	1.0792
evicting	12	11	0.24	1.1139	0.13	1.0792
exasperating	12	11	0.24	1.1139	0.13	1.0792
exclusivity	11	11	0.22	1.0792	0.13	1.0792
excruciatingly	11	11	0.22	1.0792	0.13	1.0792
exes	14	11	0.27	1.1761	0.13	1.0792
expedited	11	11	0.22	1.0792	0.13	1.0792
expertly	11	11	0.22	1.0792	0.13	1.0792
exsanguination	12	11	0.24	1.1139	0.13	1.0792
exuberant	12	11	0.24	1.1139	0.13	1.0792
exude	11	11	0.22	1.0792	0.13	1.0792
fabian	147	11	2.88	2.1703	0.13	1.0792
facials	11	11	0.22	1.0792	0.13	1.0792
falsies	11	11	0.22	1.0792	0.13	1.0792
falsify	12	11	0.24	1.1139	0.13	1.0792
fantastical	14	11	0.27	1.1761	0.13	1.0792
farthing	13	11	0.25	1.1461	0.13	1.0792
favoured	13	11	0.25	1.1461	0.13	1.0792
feasts	11	11	0.22	1.0792	0.13	1.0792
fedora	13	11	0.25	1.1461	0.13	1.0792
felicitations	12	11	0.24	1.1139	0.13	1.0792
ferns	14	11	0.27	1.1761	0.13	1.0792
fertilization	12	11	0.24	1.1139	0.13	1.0792
fiercest	12	11	0.24	1.1139	0.13	1.0792
filial	15	11	0.29	1.2041	0.13	1.0792
firmness	12	11	0.24	1.1139	0.13	1.0792
fixings	14	11	0.27	1.1761	0.13	1.0792
flan	86	11	1.69	1.9395	0.13	1.0792
flapjack	13	11	0.25	1.1461	0.13	1.0792
flatbed	21	11	0.41	1.3424	0.13	1.0792
flatulent	11	11	0.22	1.0792	0.13	1.0792
fledgling	13	11	0.25	1.1461	0.13	1.0792
flexed	13	11	0.25	1.1461	0.13	1.0792
flinching	13	11	0.25	1.1461	0.13	1.0792
floodgates	12	11	0.24	1.1139	0.13	1.0792
flourished	11	11	0.22	1.0792	0.13	1.0792
flowerpot	14	11	0.27	1.1761	0.13	1.0792
flypaper	14	11	0.27	1.1761	0.13	1.0792
fob	14	11	0.27	1.1761	0.13	1.0792
foghorn	12	11	0.24	1.1139	0.13	1.0792
footballer	16	11	0.31	1.2304	0.13	1.0792
footballs	11	11	0.22	1.0792	0.13	1.0792
fora	13	11	0.25	1.1461	0.13	1.0792
forecasts	11	11	0.22	1.0792	0.13	1.0792
forensically	11	11	0.22	1.0792	0.13	1.0792
formulation	13	11	0.25	1.1461	0.13	1.0792
fortify	12	11	0.24	1.1139	0.13	1.0792
fps	16	11	0.31	1.2304	0.13	1.0792
freighters	12	11	0.24	1.1139	0.13	1.0792
frittata	17	11	0.33	1.2553	0.13	1.0792
frizzy	18	11	0.35	1.2788	0.13	1.0792
frothy	12	11	0.24	1.1139	0.13	1.0792
fugue	27	11	0.53	1.4472	0.13	1.0792
fulfilment	11	11	0.22	1.0792	0.13	1.0792
fumigated	12	11	0.24	1.1139	0.13	1.0792
furnishing	12	11	0.24	1.1139	0.13	1.0792
gaelic	21	11	0.41	1.3424	0.13	1.0792
garcon	13	11	0.25	1.1461	0.13	1.0792
garlands	11	11	0.22	1.0792	0.13	1.0792
gaskets	12	11	0.24	1.1139	0.13	1.0792
gasped	12	11	0.24	1.1139	0.13	1.0792
gazelles	17	11	0.33	1.2553	0.13	1.0792
gearshift	11	11	0.22	1.0792	0.13	1.0792
generalities	11	11	0.22	1.0792	0.13	1.0792
georgette	14	11	0.27	1.1761	0.13	1.0792
giblets	14	11	0.27	1.1761	0.13	1.0792
giggled	11	11	0.22	1.0792	0.13	1.0792
gila	20	11	0.39	1.3222	0.13	1.0792
glitters	19	11	0.37	1.3010	0.13	1.0792
globally	11	11	0.22	1.0792	0.13	1.0792
glorifying	13	11	0.25	1.1461	0.13	1.0792
gluing	11	11	0.22	1.0792	0.13	1.0792
gm	50	11	0.98	1.7076	0.13	1.0792
gnats	14	11	0.27	1.1761	0.13	1.0792
gobs	11	11	0.22	1.0792	0.13	1.0792
gofer	16	11	0.31	1.2304	0.13	1.0792
goldmine	14	11	0.27	1.1761	0.13	1.0792
goners	11	11	0.22	1.0792	0.13	1.0792
gracing	11	11	0.22	1.0792	0.13	1.0792
grafts	17	11	0.33	1.2553	0.13	1.0792
gramophone	16	11	0.31	1.2304	0.13	1.0792
granada	36	11	0.71	1.5682	0.13	1.0792
grapple	12	11	0.24	1.1139	0.13	1.0792
grassroots	15	11	0.29	1.2041	0.13	1.0792
gridlock	14	11	0.27	1.1761	0.13	1.0792
griffins	18	11	0.35	1.2788	0.13	1.0792
grifter	24	11	0.47	1.3979	0.13	1.0792
grifters	15	11	0.29	1.2041	0.13	1.0792
grinned	12	11	0.24	1.1139	0.13	1.0792
grizzlies	14	11	0.27	1.1761	0.13	1.0792
grotesquely	12	11	0.24	1.1139	0.13	1.0792
groundskeeper	18	11	0.35	1.2788	0.13	1.0792
grubbing	14	11	0.27	1.1761	0.13	1.0792
